,IDpol,Year,Damage,Fire,Other,Theft,TPL,Windscreen
0,1000431.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1000472.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
2,1000650.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
3,1000733.10a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
4,1000775.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
5,1000889.10a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
6,1000896.10a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
7,1000933.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
8,1000937.100b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
9,1001133.100b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1001171.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
11,1001319.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
12,1001365.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
13,1001366.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
14,1001456.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
15,1001560.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
16,1001584.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
17,1001590.100b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
18,1001688.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
19,1001773.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
20,1001874.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
21,1001941.100a,2003.0,0.0,0.0,0.0,0.0,1.0,1.0
22,1001942.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
23,1001951.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
24,1001951.100b,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
25,1001996.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
26,1002009.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
27,1002065.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
28,1002085.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
29,1002122.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
30,1002158.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
31,1002160.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
32,1002160.100b,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
33,1002166.100b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
34,1002205.100a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
35,1002330.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
36,1002352.100c,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
37,1002353.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
38,1002364.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
39,1002385.101c,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
40,1002417.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
41,1002442.100a,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
42,1002593.100b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
43,1002626.100b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
44,1002639.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
45,1002714.100b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
46,1002745.100a,2003.0,1.0,0.0,0.0,0.0,1.0,0.0
47,1002791.100b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
48,1002792.100b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
49,1002832.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
50,1002876.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
51,1003052.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
52,1003063.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
53,1003124.101a,2003.0,0.0,0.0,0.0,0.0,2.0,0.0
54,1003134.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
55,1003140.101b,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
56,1003227.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
57,1003241.100c,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
58,1003290.100b,2003.0,1.0,0.0,0.0,0.0,0.0,1.0
59,1003291.100c,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
60,1003304.100a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
61,1003373.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
62,1003378.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
63,1003440.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
64,1003491.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
65,1003635.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
66,1003803.102a,2003.0,0.0,0.0,0.0,1.0,0.0,0.0
67,1003807.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
68,1003820.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
69,1004847.100a,2003.0,0.0,0.0,0.0,0.0,0.0,2.0
70,1005058.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
71,1005075.100b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
72,1005076.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
73,1005092.100b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
74,1005218.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
75,1005283.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
76,1005320.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
77,1005327.102a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
78,1005338.100b,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
79,1005340.100b,2003.0,1.0,0.0,0.0,0.0,0.0,0.0
80,1005407.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
81,1005484.100a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
82,1005600.101a,2003.0,0.0,0.0,0.0,0.0,0.0,1.0
83,1005624.101a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
84,1005782.100a,2003.0,0.0,0.0,0.0,0.0,1.0,0.0
