,IDpol,OccurDate,Payment,IDclaim,Guarantee
0,70100084.100a,2003-01-01,104,7201,Windscreen
1,80100041.10b,2003-01-01,628,6995,TPL
2,90105222.100a,2003-01-01,468,6876,TPL
3,90109476.101a,2003-01-01,4373,6905,Damage
4,90131675.100a,2003-01-01,145,7366,Windscreen
5,90133465.100a,2003-01-01,239,7144,Windscreen
6,90134375.100a,2003-01-01,461,6879,TPL
7,90151954.100a,2003-01-01,332,6841,Windscreen
8,90157111.100b,2003-01-01,0,7050,TPL
9,90157303.100a,2003-01-01,779,7478,TPL
10,90164592.102a,2003-01-01,130,7199,Windscreen
11,90171000.100a,2003-01-01,496,6881,Damage
12,90172760.100a,2003-01-01,368,6788,Windscreen
13,90174235.100a,2003-01-01,210,13767,Windscreen
14,90183952.100a,2003-01-01,331,6783,Windscreen
15,20200297.102b,2003-01-02,659,7196,Windscreen
16,90101337.101a,2003-01-02,59,7372,Windscreen
17,90106786.100a,2003-01-02,585,6901,Theft
18,90126684.102a,2003-01-02,84,6942,Damage
19,90134847.100a,2003-01-02,265,7049,Windscreen
20,90145330.100a,2003-01-02,145,6838,Windscreen
21,90145673.100b,2003-01-02,2541,6967,TPL
22,90146161.100a,2003-01-02,229,7362,Windscreen
23,90154372.100a,2003-01-02,167,6987,TPL
24,90155997.100a,2003-01-02,24728,6930,Damage
25,90157004.100a,2003-01-02,1185,6986,TPL
26,90168670.100a,2003-01-02,51,13032,Damage
27,90170484.100b,2003-01-02,0,6949,TPL
28,90184868.100a,2003-01-02,608,7062,TPL
29,571.10a,2003-01-03,897,6937,TPL
30,90103939.104c,2003-01-03,267,6964,TPL
31,90108242.101a,2003-01-03,8078,6970,TPL
32,90113837.101a,2003-01-03,239,8034,Windscreen
33,90126491.101a,2003-01-03,104,6847,TPL
34,90131438.103a,2003-01-03,827,7093,TPL
35,90132590.100a,2003-01-03,760,7164,TPL
36,90144517.100a,2003-01-03,287,7178,Windscreen
37,90145919.100b,2003-01-03,0,7025,Damage
38,90155185.102a,2003-01-03,145,7991,Windscreen
39,90156518.100a,2003-01-03,484,6983,TPL
40,90164807.100a,2003-01-03,897,7138,TPL
41,90172017.100b,2003-01-03,98,7153,Windscreen
42,90182515.100b,2003-01-03,281,7374,Windscreen
43,90103582.10a,2003-01-04,897,7591,TPL
44,90132420.100a,2003-01-04,1745,7089,Theft
45,90145650.100b,2003-01-04,837,7582,Other
46,90153246.100b,2003-01-04,289,6950,Theft
47,90160213.100a,2003-01-04,1167,6938,Other
48,90164574.100a,2003-01-04,1850,6989,Theft
49,90167909.100a,2003-01-04,1063,7280,Damage
50,90180911.101a,2003-01-04,541,7116,TPL
51,90189115.101a,2003-01-04,0,7090,Windscreen
52,50200836.101a,2003-01-05,1350,7474,TPL
53,90103675.10a,2003-01-05,438,7454,Windscreen
54,90133227.100a,2003-01-05,3090,7063,TPL
55,90146530.100b,2003-01-05,0,7102,TPL
56,90147873.100a,2003-01-05,303,7370,Windscreen
57,90148086.100a,2003-01-05,361,7080,TPL
58,90155812.100a,2003-01-05,2120,6864,Damage
